name,price,picture-src,brand
SAINT LAURENT MEN VESTE COURTE 1BTS AVEC GALON JACKET,"$3,890.00 ",//cdn.shopify.com/s/files/1/0015/6611/3861/products/657c65b2d66e149e36118ffd66f55d4e_2400x.jpg?v=1582052669,SAINT LAURENT
AMBUSH UNISEX NEW PATCHWORK SWEATSHIRT,$715.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/460fdaeac594a03346c09714888a1a90_2400x.jpg?v=1582232825,AMBUSH
PALM ANGELS MEN SHANGHAI SPRAYED LOGO HOODY,$415.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/884915666429e60c492903b4549de7dc_bdddbced-01a9-4dc8-8fb3-99478da64d47_2400x.jpg?v=1580842239,PALM ANGELS
UNDERCOVER MEN JACQUARD DENIM SHIRT JACKET LONG,"$1,005.00 ",//cdn.shopify.com/s/files/1/0015/6611/3861/products/da6babf850c60a88207f544f68ca5be4_2400x.jpg?v=1581708543,UNDERCOVER
RICK OWENS MEN TRENCH COAT,"$1,504.00 ",//cdn.shopify.com/s/files/1/0015/6611/3861/products/465f8e1c59c2389386c8b093b2c21c21_451a4a23-082c-4abb-9d0c-6bcdfe973db5_2400x.jpg?v=1567787426,RICK OWENS
GUIDI MEN 796Z SHORT BACK ZIP BOOT CV09T,"$1,370.00 ",//cdn.shopify.com/s/files/1/0015/6611/3861/products/fb33ffb82a0d029c1774b9cb34e0feeb_2400x.jpg?v=1542383777,GUIDI
VETEMENTS UNISEX DOUBLE HAPPINESS T-SHIRT,$340.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/6407f7a69417b76ac32a6c277b42a9f1_2400x.jpg?v=1577221092,VETEMENTS
PALM ANGELS MEN VELCRO VULCANIZED SNEAKERS,$270.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/bf350f31f55af51e672efa21a34ef955_2400x.jpg?v=1575430735,PALM ANGELS
GUIDI MEN 796Z CLASSIC SHORT BACKZIP BOOTS,"$1,370.00 ",//cdn.shopify.com/s/files/1/0015/6611/3861/products/bd17e4a3349913b44c206493a4ff8d59_2400x.jpg?v=1568133136,GUIDI
PALM ANGELS MEN RECOVERY SNEAKERS,$555.00 ,//cdn.shopify.com/s/files/1/0015/6611/3861/products/29110916b5147dcc266b4f7a57be868c_2400x.jpg?v=1575429124,PALM ANGELS
MAISON MARGIELA MEN TABI LOW HEEL BOOTS,"$1,145.00 ",//cdn.shopify.com/s/files/1/0015/6611/3861/products/653f3f3954160331364018b8d9efd3f3_2400x.jpg?v=1580411242,MAISON MARGIELA
